Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,Chrome 91.0.4472.114,,,2021-07-06 16:47:25,2021-07-06 16:48:23,58.495s,PASSED
,,,,,,,
Test Cases/Onliner,Chrome 91.0.4472.114,,,2021-07-06 16:47:25,2021-07-06 16:48:23,58.283s,PASSED
Start setup action : setupTestCase,Chrome 91.0.4472.114,,,2021-07-06 16:47:25,2021-07-06 16:47:27,2.393s,PASSED
navigateToUrl(baseURL),Chrome 91.0.4472.114,,,2021-07-06 16:47:28,2021-07-06 16:47:42,14.155s,PASSED
"click(findTestObject(""Page_Onliner/HomePage/catalogMenuButton""))",Chrome 91.0.4472.114,,,2021-07-06 16:47:42,2021-07-06 16:47:49,6.848s,PASSED
"click(findTestObject(""Page_Onliner/CatalogPage/electronicsMenuButton""))",Chrome 91.0.4472.114,,,2021-07-06 16:47:49,2021-07-06 16:47:49,0.667s,PASSED
"mouseOver(findTestObject(""Page_Onliner/CatalogPage/tvVideoButton""))",Chrome 91.0.4472.114,,,2021-07-06 16:47:49,2021-07-06 16:47:50,0.548s,PASSED
"click(findTestObject(""Page_Onliner/CatalogPage/televisionsMenuButton""))",Chrome 91.0.4472.114,,,2021-07-06 16:47:50,2021-07-06 16:48:18,28.362s,PASSED
"click(findTestObject(""Page_Onliner/CatalogPage/samsungItem""))",Chrome 91.0.4472.114,,,2021-07-06 16:48:18,2021-07-06 16:48:20,1.274s,PASSED
onliner.NumberElements.checkNumberElements(productsPerPage),Chrome 91.0.4472.114,,,2021-07-06 16:48:20,2021-07-06 16:48:22,2.349s,PASSED
onliner.ProductsName.checkProductsName(samsung),Chrome 91.0.4472.114,,,2021-07-06 16:48:22,2021-07-06 16:48:23,0.599s,PASSED
Start tear down : tearDownTestCase,Chrome 91.0.4472.114,,,2021-07-06 16:48:23,2021-07-06 16:48:23,0.734s,PASSED
